Root Superpathway	Gene Identifier	Log fold difference	Pointwise Relative Entropy
Metabolism of RNA	ADARB1	0.078860001	0.012693464
Metabolism of RNA	ARHGAP15	0.067079045	0.012693464
Metabolism of RNA	ARPC5	0.161729751	0.012693464
Metabolism of RNA	BATF	0.104302514	0.012693464
Metabolism of RNA	BATF3	0.102072252	0.012693464
Metabolism of RNA	BCLAF1	0.105647273	0.012693464
Metabolism of RNA	CASP1	0.046991482	0.012693464
Metabolism of RNA	CCT7	0.154359853	0.012693464
Metabolism of RNA	CEP57	0.155083406	0.012693464
Metabolism of RNA	CHD3	0.082925838	0.012693464
Metabolism of RNA	CIT	0.105186083	0.012693464
Metabolism of RNA	CSNK2A1	0.104294947	0.012693464
Metabolism of RNA	DCP2	0.082755761	0.012693464
Metabolism of RNA	EED	0.092150546	0.012693464
Metabolism of RNA	EIF4EBP1	0.128310994	0.012693464
Metabolism of RNA	EWSR1	0.068364281	0.012693464
Metabolism of RNA	HNRNPUL2	0.157793718	0.012693464
Metabolism of RNA	JUN	0.122774171	0.012693464
Metabolism of RNA	KDM1A	0.082641226	0.012693464
Metabolism of RNA	KHDRBS1	0.15023755	0.012693464
Metabolism of RNA	KIF14	0.067420344	0.012693464
Metabolism of RNA	KIF23	0.096132767	0.012693464
Metabolism of RNA	MAPRE1	0.11549482	0.012693464
Metabolism of RNA	MLST8	0.093741519	0.012693464
Metabolism of RNA	MTF2	0.11211432	0.012693464
Metabolism of RNA	NCOA7	0.075654712	0.012693464
Metabolism of RNA	PAN3	0.078850823	0.012693464
Metabolism of RNA	PAX5	0.076612204	0.012693464
Metabolism of RNA	PCF11	0.053767544	0.012693464
Metabolism of RNA	PKN2	0.090722962	0.012693464
Metabolism of RNA	PPP1CA	0.149758519	0.012693464
Metabolism of RNA	PRC1	0.119156076	0.012693464
Metabolism of RNA	PRPS1	0.074647677	0.012693464
Metabolism of RNA	PSEN1	0.053249815	0.012693464
Metabolism of RNA	PSIP1	0.219902905	0.012693464
Metabolism of RNA	PTBP1	0.103836152	0.012693464
Metabolism of RNA	RANBP2	0.099700701	0.012693464
Metabolism of RNA	RBBP4	0.130261303	0.012693464
Metabolism of RNA	SCAF8	0.053769423	0.012693464
Metabolism of RNA	SH3BGRL	0.13496203	0.012693464
Metabolism of RNA	SON	0.096468463	0.012693464
Metabolism of RNA	SSRP1	0.174911915	0.012693464
Metabolism of RNA	SUPT16H	0.102379012	0.012693464
Metabolism of RNA	SUZ12	0.138847034	0.012693464
Metabolism of RNA	XPO1	0.11982473	0.012693464
Metabolism of RNA	ADAR	0.069957318	0.012693464
Metabolism of RNA	BCAS2	0.065232915	0.012693464
Metabolism of RNA	CASP4	0.033866058	0.012693464
Metabolism of RNA	CDK4	0.146571061	0.012693464
Metabolism of RNA	CTSB	0.130416533	0.012693464
Metabolism of RNA	CTSH	0.286181304	0.012693464
Metabolism of RNA	CUL1	0.119799366	0.012693464
Metabolism of RNA	DBNL	0.105012316	0.012693464
Metabolism of RNA	DEK	0.179791173	0.012693464
Metabolism of RNA	FBXW11	0.089218303	0.012693464
Metabolism of RNA	HSPD1	0.124355427	0.012693464
Metabolism of RNA	ID2	0.096245167	0.012693464
Metabolism of RNA	LGALS3BP	0.019711282	0.012693464
Metabolism of RNA	MAP3K3	0.056909337	0.012693464
Metabolism of RNA	NPM1	0.081906128	0.012693464
Metabolism of RNA	PDCD4	0.126213943	0.012693464
Metabolism of RNA	PSMD1	0.078552095	0.012693464
Metabolism of RNA	PSMD3	0.064175679	0.012693464
Metabolism of RNA	PYCARD	0.11739765	0.012693464
Metabolism of RNA	SF3B1	0.09540693	0.012693464
Metabolism of RNA	SNRPD3	0.166477419	0.012693464
Metabolism of RNA	SNRPE	0.121041213	0.012693464
Metabolism of RNA	SNRPF	0.09805925	0.012693464
Metabolism of RNA	SNRPG	0.079373982	0.012693464
Metabolism of RNA	SRRM1	0.085589517	0.012693464
Metabolism of RNA	SRSF3	0.095334242	0.012693464
Metabolism of RNA	ST13	0.142546093	0.012693464
Metabolism of RNA	TYW3	0.101566351	0.012693464
Metabolism of RNA	USP4	0.057227382	0.012693464
Metabolism of RNA	WNK1	0.155624835	0.012693464
