module	term_id_REAC	genes_hugo
2	REAC:R-HSA-3371497	FKBP4;RPS6KB1;NR3C1;PHLPP1;SMG6;NOS3;HGH1;NR3C2;SMG5;TTC4;HDAC8;NOSTRIN;POLDIP3;SMG7;FKBP5;NOSIP;UPF1;PTGES3
3	REAC:R-HSA-194313	SEMA3F;GRN;NID2;FLT4;KDR;MCAM;SHC2;SH3GL1;FLT1;VEGFD;VEGFB;ANGPT2;SH3GL3;ARC;MYOF;NRP2;ECM1;PLXNA3;TIE1;HSPG2;SHB;TEK;SH3GL2;ANGPT4;SEMA5A;DNM2;PLXNB3;PGF;None;VEGFC
5	REAC:R-HSA-389957	USP28;H1-1;PFDN1;DNMT3A;POGZ;VBP1;CIP2A;PARP10;H1-5;ZNF346;MAX;PAX9;KDM5B;PFDN2;GFI1;PFDN4;ZBTB17;PSIP1;MSX1;PFDN6;CDCA7L;PFDN5;None
6	REAC:R-HSA-9662361	USH1C;None;TAX1BP3;TMC1;USH2A;ANKS4B;CNTN2;LHFPL5;WHRN;PCDH15;CDH23;ADGRV1;MYO7A;LHFPL3;VEZT;MYO7B;USH1G;PDZD7
7	REAC:R-HSA-5620916	RALA;RALBP1;HMGXB4;MAZ;EXOC2;RHOQ;EXOC4;EXOC6;EXOC6B;RALB;BPTF;TRIP10;EXOC3L1;TTF1;EXOC7;CECR2;REPS2;BAZ1A;EXOC8;SMARCA1;EXOC3L4;EXOC1;FUT2;EXOC3L2;EXOC3;BAZ2A;C17orf49;TNFAIP2;EXOC5
8	REAC:R-HSA-5663213	BAIAP2L1;MEFV;WASL;ARPC3;WIPF3;PTPN12;ACTR3C;ACTR3B;ARPC1A;ACTR3;PACSIN2;NCKIPSD;ARPC5;ARPC2;WIPF2;ARPC5L;WAS;ACTR2;SNX9;ARPC4-TTLL3;ARPC4;ARPC1B;CORO1C;FNBP1;PACSIN3;PSTPIP1;PACSIN1
9	REAC:R-HSA-112308	CACNG3;CBLN1;CACNG1;CACNG6;CACNG4;OLFM2;CACNA1C;CACNG8;CNIH3;GRID2;GRIA4;CACNA1D;GRIA2;CACNG2;CACNB3;CNIH2;CACNB2;STAC2;STAC3;CACNA2D1;CACNA1S;CACNA1F;CACNA2D4;CACNG7;CACNB1;GRID2IP;CACNA2D2;CACNA2D3;GRIA1;CACNB4;SHISA9;GRIA3
10	REAC:R-HSA-4086400	DVL2;INVS;WNT5A;WNT7A;FZD7;WNT4;NKD2;DVL3;FZD2;WNT11;CTHRC1;DACT1;NXN;FZD6;FZD5;ROR2;DVL1;DAAM1;HECW1
11	REAC:R-HSA-5696394	RPAP3;ACTR6;INO80B;ACTR5;PIH1D1;NOP58;PIH1D2;ZNHIT1;RUVBL1;ACTR8;MCRS1;None;UCHL5;ZNHIT6;NUFIP1;TFPT;INO80D;INO80C;KAT8;NFRKB;INO80E;ANP32E;RUVBL2;ZNHIT3
12	REAC:R-HSA-983695	SKAP2;LCP2;CD79A;BLNK;FGL2;BST2;LILRA4;BCR;ALCAM;CD6;GRAP2;CD5;THEMIS;TEC;CD79B;LAT;CD72;PTPN6;ITK;DBNL;LAT2;DAPP1;None;CLEC4C;MAP4K1;VAV1;PLCG2;BTK
